id;nome;cidade;vitorias;derrotas;empates
1;ack under;ceramics potentially toward;30868;14157;10587
2;once joyously;ouch;31739;19237;18206
3;yowza;like over mmm;9312;25208;25019
4;um;popularize slather quintessential;19878;17965;2384
5;toward carelessly;mixed suspension;8864;19800;5159
6;behest;er;10184;30819;18021
7;who ugh fortunately;over chase from;22631;29789;14188
8;pish;sans airbrush;2592;8097;31726
9;whereas agitated duster;amidst;11657;27234;19386
10;supposing;disk beard mmm;10257;20848;26420
